Block, Clocks
0,	4371
1,	4153
2,	4321
3,	4278
4,	4232
5,	4228
6,	4116
7,	4266
8,	4412
9,	4259
10,	4199
11,	4146
12,	4203
13,	4271
14,	4225
15,	4238
16,	4090
17,	4161
18,	4298
19,	3821
20,	4391
21,	4247
22,	4383
23,	4361
24,	4299
25,	4350
26,	4254
27,	4106
28,	4451
29,	4364
30,	4277
31,	4328
32,	4266
33,	4327
34,	4281
35,	4330
36,	4202
37,	4179
38,	4336
39,	4153
40,	4210
41,	4321
42,	4388
43,	4348
44,	4310
45,	4214
46,	4226
47,	4355
48,	4245
49,	4180
50,	4273
51,	4328
52,	4335
53,	4293
54,	4325
55,	4382
56,	4221
57,	4255
58,	4264
59,	3976
60,	4326
61,	4386
62,	4455
63,	4515
64,	4402
65,	4434
66,	4298
67,	4404
68,	4465
69,	4303
70,	4406
71,	4438
72,	4320
73,	4339
74,	4344
75,	4492
76,	4342
77,	4327
78,	4385
79,	4315
80,	4477
81,	4493
82,	4500
83,	4588
84,	4475
85,	4489
86,	4512
87,	4419
88,	4573
89,	4589
90,	4550
91,	4514
92,	4590
93,	4431
94,	4564
95,	4615
96,	4500
97,	4486
98,	4538
99,	4454
100,	4553
101,	4724
102,	4673
103,	4622
104,	4633
105,	4712
106,	4623
107,	4567
108,	4571
109,	4565
110,	4540
111,	4569
112,	4635
113,	4457
114,	4647
115,	4561
116,	4428
117,	4515
118,	4566
119,	4560
120,	4909
121,	4858
122,	4661
123,	5029
124,	4858
125,	4778
126,	4831
127,	4773
128,	4865
129,	4789
130,	4736
131,	4865
132,	5168
133,	4727
134,	4877
135,	4966
136,	4846
137,	4861
138,	4966
139,	4757
140,	5081
141,	5071
142,	5161
143,	5115
144,	5085
145,	5121
146,	5053
147,	5089
148,	5030
149,	5129
150,	5098
151,	5020
152,	5003
153,	4960
154,	5090
155,	5214
156,	5119
157,	5113
158,	4956
159,	5023
160,	2734
161,	2720
162,	2726
163,	2777
164,	2836
165,	3031
166,	3031
167,	2822
168,	2709
169,	2927
170,	2843
171,	3164
172,	2900
173,	2891
174,	3136
175,	3140
176,	2958
177,	3297
178,	3442
179,	2938
180,	2959
181,	3374
182,	3028
183,	3040
184,	3145
185,	2925
186,	3256
187,	2942
188,	3049
189,	2821
190,	3074
191,	3184
192,	3146
193,	2969
194,	2866
195,	2964
196,	3034
197,	2970
